Item.Number,tol_profit,botl_profit,State.Bottle.Cost
11788,12.371460400000007,5.23,10.45
38178,10.35191348144467,9.499843975729558,18.99968145044785
38177,8.536517231831903,6.339754321059024,12.669508642118041
38176,6.580012322239042,4.914109533831892,9.828219067663786
43337,6.5495673599999975,5.879999999999999,11.75
11296,5.532373959799543,7.88982087922993,15.769641758459858
88296,5.358835841647691,13.762342165183192,27.524684330366384
10807,5.12497012456674,7.909942082783605,15.809884165567208
26827,5.119653116747525,9.461285781140319,18.912834022307152
11297,5.022894459849501,9.492849426315004,18.97569885263001
1799,5.008023,9,18
26826,4.04843184,7.789999999999999,15.57
36308,4.045043269999998,3.59,7.17
43338,4.004118,9,18
48106,3.952425162445593,10.116965243171638,20.223930486343278
48105,3.5317738106878487,5.468394942940254,10.929281718505258
64858,3.4854268155026236,14.587404117884542,29.174808235769074
26828,3.440217280233089,15.360855868159891,30.721711736319765
15627,3.4332932155320326,9.663980092527684,19.327960185055378
15626,3.3002011939089306,8.16356105948877,16.317122118977547
64870,3.1686777000000004,0.45000000000000007,0.9
64866,3.1500585,4.5,9
64867,2.9072017800000007,5.670000000000002,11.34
11298,2.9017389473609483,16.10314792899409,32.19629585798816
43336,2.890624709999999,4.529999999999999,9.06
34006,2.649458562918837,5.338421444527176,10.666842889054356
64864,2.6217904799999996,2.67,5.33
34821,2.5148606320561826,6.610851945659682,13.221703891319365
64868,2.4700621399999996,7.67,15.33
64865,2.3512558500000007,4.49,8.98
48099,2.2329992721274214,3.2306918314359896,6.456377072099062
43028,2.214676359999999,5.779999999999998,11.55
10808,2.210699364694157,9.48407250529463,18.958145010589263
65257,2.179601932275748,8.082508305647842,16.16501661129568
25608,2.1503681106657893,6.362054653019062,12.724109306038127
68036,2.0443646387120933,7.303310691554797,14.602238327004331
38008,2.0377434599999993,7.379999999999999,14.75
17206,2.0194622499999992,9.049999999999997,18.1
19068,2.015767913551996,10.505466564963132,21.007991863717265
42717,1.9390890176301703,5.424829464592429,10.839658929184866
19476,1.8878243209827428,8.759595949157799,17.519191898315594
