Item.Number,Category,Vendor,Pack,Bottle.Volume..ml.,State.Bottle.Retail,County,Store,City,Bottles.Sold,Popularity,Covid_index,PopularityC
87769,1022200,1,6,50,13.5,7,11,10,40,FALSE,NA,0
87773,1022200,1,6,50,13.5,3,6,5,16,FALSE,NA,0
87849,1022200,1,6,750,37.9129785661493,64,217,89,7345,FALSE,-0.051963085458231084,0
87860,1022300,1,6,750,30,10,21,12,136,FALSE,NA,0
87872,1022100,1,6,750,31.5,19,67,26,689,FALSE,NA,0
87901,1022200,1,6,750,75,16,31,21,109,FALSE,NA,0
87906,1022200,1,6,750,45,14,30,17,112,FALSE,NA,0
87936,1022100,1,12,750,11.248442906574395,90,310,141,18082,FALSE,0.19579110210178172,1
87937,1022100,1,12,1000,11.8097586900316,89,290,146,133864,TRUE,2.4759948789075006,1
87938,1022100,1,6,1750,22.498426848453068,60,159,84,11845,FALSE,0.19889042995839112,1
87997,1022100,1,12,1000,10.96544982698962,39,84,49,23855,FALSE,-0.06112237277285821,0
88015,1022200,1,6,1750,30.027961165048545,17,38,25,471,FALSE,NA,0
88018,1022200,1,12,750,15.094758144126358,57,182,73,26573,TRUE,-0.4840926064227035,0
88036,1022200,2,12,750,9.993378265934432,85,300,125,62281,TRUE,-0.2837138589565774,0
88071,1022300,1,6,750,34.98,18,30,21,145,FALSE,NA,0
88074,1022300,1,6,750,34.98,16,24,18,100,FALSE,NA,0
88089,1022300,1,6,750,34.98,19,36,25,147,FALSE,NA,0
88091,1022300,1,6,750,41.51,5,7,5,35,FALSE,NA,0
88095,1092100,1,12,750,18.6,30,84,40,4115,FALSE,-0.34354528966179454,0
88104,1022300,1,6,750,30,11,27,15,182,FALSE,NA,0
88116,1022200,1,6,750,24.417624778761063,70,253,102,15674,FALSE,0.7513762936093034,1
88118,1022200,1,6,1750,41.25,10,20,13,181,FALSE,NA,0
88120,1022200,1,6,750,41.25,25,81,39,412,FALSE,NA,0
88146,1022200,1,12,750,9.45,3,3,3,19,FALSE,NA,0
88147,1022100,2,12,1000,10.53,50,93,61,22432,FALSE,0.013773605035740877,1
88148,1022200,1,6,1750,19.158620689655173,17,20,20,245,FALSE,NA,0
88152,1022200,1,6,750,19.68,18,31,21,257,FALSE,NA,0
88163,1701100,1,6,750,89.99,18,51,27,240,FALSE,NA,0
88172,1022200,2,6,750,35.5,31,76,39,464,FALSE,NA,0
88185,1022200,1,24,375,8.653422184006878,47,204,57,18929,FALSE,-0.466936946548597,0
88186,1022200,1,6,750,19.99749914295509,83,397,116,80356,TRUE,-1.8140883388456204,0
88188,1022200,1,6,1750,31.497036553524804,28,81,35,5670,FALSE,-0.1369145417689107,0
88205,1022200,1,12,750,23.6711,47,155,66,4102,FALSE,0.20168569294782884,1
88212,1700000,1,3,750,97.5,14,37,24,127,FALSE,NA,0
88290,1022200,2,12,200,13.5,79,436,125,45799,TRUE,-5.301861730502507,0
88291,1022200,2,10,300,30.45,108,710,209,13865,FALSE,-1.6963778939507095,0
88294,1022200,2,12,375,21.797442493946733,124,1485,358,140423,TRUE,1.345433692521071,1
88296,1022200,2,12,750,41.287026495549576,124,1538,337,389384,TRUE,13.92537608023045,1
88298,1022200,2,3,1750,87.05678527099711,71,312,114,5973,FALSE,0.42173797076709696,1
88332,1022200,1,12,750,22.5,22,33,27,244,FALSE,NA,0
88354,1022200,1,12,375,12.03,29,85,40,1903,FALSE,0.8109249973327644,1
88355,1022200,1,6,1000,26.19,18,28,23,307,FALSE,NA,0
88356,1022200,1,6,750,27.75,21,45,28,214,FALSE,NA,0
88361,1022200,1,6,750,97.5,36,133,54,939,FALSE,0.1971780646537928,1
88363,1022200,1,6,750,75,37,135,55,921,FALSE,0.18861090365944735,1
88367,1022200,1,6,750,60,37,137,54,898,FALSE,0.1842846473914435,1
88369,1022200,1,12,375,13.55,25,71,35,1044,FALSE,0.47489597780859916,1
88371,1022200,1,6,750,22.41,82,447,143,21953,FALSE,4.895220313666916,1
88372,1022200,1,6,750,24.65,80,424,135,13620,FALSE,2.674666595540382,1
88375,1022200,1,6,1000,28.43,16,26,20,232,FALSE,NA,0
88406,1022200,1,6,750,52.5,21,39,26,153,FALSE,NA,0
88413,1022200,1,12,750,16.5,10,13,10,60,FALSE,NA,0
88458,1022200,2,6,750,33.648305084745765,23,48,28,191,FALSE,NA,0
88464,1022200,1,6,750,30.05,17,38,22,205,FALSE,NA,0
88470,1701100,1,3,750,26.25,12,24,19,170,FALSE,NA,0
88477,1701100,1,6,750,48.74,29,60,36,324,FALSE,NA,0
88479,1022200,1,6,750,62.22,22,47,30,154,FALSE,NA,0
88482,1092100,1,12,750,47.066101694915254,17,29,22,179,FALSE,NA,0
88511,1022300,1,12,750,26.99,21,48,26,1540,FALSE,0.27809666062093247,1
88522,1022200,1,12,750,19.38,19,36,24,846,FALSE,0.09513496212525338,1
88533,1092100,1,12,750,18.6,26,77,37,2629,FALSE,-0.2771684626053558,0
88536,1022200,1,12,750,16.121349337748345,66,223,90,21053,FALSE,-1.5694494825562786,0
88537,1022200,1,12,1000,20,8,9,8,624,FALSE,NA,0
88540,1022200,1,12,750,19.723961614173227,70,269,102,13116,FALSE,0.1598527685906327,1
88547,1022200,1,12,1000,21.62,22,25,22,384,FALSE,NA,0
88548,1022200,1,12,750,19.842794644247235,94,588,153,57207,TRUE,1.730470500373413,1
88549,1022200,1,24,375,9.44,22,43,29,494,FALSE,NA,0
88556,1022100,1,12,750,14.9870403241366,87,430,130,40598,TRUE,0.3608023044916249,1
88566,1022200,1,6,750,28.5,33,98,48,946,FALSE,0.3289448415662008,1
88570,1022200,1,6,750,30,46,154,69,1549,FALSE,0.5460578256694761,1
88578,1092100,1,12,750,34.41634146341464,26,56,33,368,FALSE,NA,0
88579,1022300,1,6,750,29.99,17,42,26,450,FALSE,NA,0
